machine_id,status,temperature,vibration,vibration_rms,timestamp
1,STOP,26.7,0.98,0.8,0
1,RUN,26.3,1.29,1.06,503
1,RUN,25.7,1.38,1.13,1008
1,RUN,23.1,0.78,0.64,1512
1,RUN,26.6,1.16,0.95,2016
1,RUN,23.9,1.31,1.07,2521
1,RUN,23.8,1.1,0.9,3024
1,RUN,24.5,1.0,0.82,3529
1,RUN,26.6,1.29,1.06,4033
1,STOP,26.0,0.78,0.64,4537
1,RUN,26.1,0.99,0.81,5042
1,RUN,25.0,1.12,0.92,5545
1,RUN,25.3,0.66,0.54,6050
1,STOP,26.4,0.53,0.43,6554
1,RUN,24.6,1.03,0.84,7059
1,RUN,25.9,0.52,0.43,7563
1,RUN,24.8,1.34,1.1,8067
1,STOP,24.0,0.85,0.7,8571
1,STOP,26.8,1.13,0.93,9075
1,RUN,25.1,0.64,0.52,9580
1,RUN,26.3,0.94,0.77,10084
1,RUN,25.4,0.92,0.75,10589
1,RUN,23.5,1.24,1.02,11092
1,RUN,24.7,0.73,0.6,11597
1,STOP,25.2,0.5,0.41,12101
1,RUN,25.2,0.71,0.58,12606
1,RUN,24.8,0.98,0.8,13110
1,RUN,24.7,0.88,0.72,13615
1,RUN,23.8,0.69,0.57,14118
1,RUN,24.0,1.01,0.83,14623
1,RUN,25.2,0.51,0.42,15127
1,RUN,23.6,1.46,1.2,15632
1,RUN,26.5,1.2,0.98,16136
1,RUN,24.6,1.03,0.84,16641
1,STOP,26.7,1.1,0.9,17144
1,STOP,24.7,1.3,1.07,17649
1,RUN,24.6,0.79,0.65,18153
1,RUN,26.2,1.12,0.92,18658
1,RUN,24.3,1.31,1.07,19162
1,RUN,24.8,1.05,0.86,19666
1,RUN,25.6,0.61,0.5,20170
1,RUN,23.7,1.13,0.93,20675
1,STOP,26.8,0.6,0.49,21179
1,RUN,25.9,0.58,0.48,21684
1,RUN,23.3,0.65,0.53,22188
1,RUN,26.2,1.2,0.98,22692
1,RUN,26.2,1.37,1.12,23196
1,RUN,25.8,0.55,0.45,23701
1,RUN,24.4,1.46,1.2,24205
1,RUN,23.2,0.74,0.61,24710
1,RUN,23.0,1.21,0.99,25213
1,RUN,26.9,1.44,1.18,25718
1,RUN,23.2,1.49,1.22,26222
1,RUN,24.9,1.09,0.89,26727
1,RUN,25.4,1.23,1.01,27231
1,RUN,24.2,1.41,1.16,27736
1,RUN,23.7,0.9,0.74,28239
1,RUN,25.0,0.82,0.67,28744
1,RUN,23.5,0.63,0.52,29248
1,RUN,26.8,1.11,0.91,29753
1,STOP,25.6,1.06,0.87,30257
1,RUN,24.8,0.86,0.71,30761
1,RUN,25.6,0.69,0.57,31265
1,RUN,25.8,1.48,1.21,31770
1,RUN,26.5,0.8,0.66,32274
1,RUN,25.2,1.06,0.87,32779
1,STOP,24.9,1.2,0.98,33283
1,RUN,24.3,0.59,0.48,33787
1,RUN,23.1,1.31,1.07,34291
1,RUN,25.0,0.94,0.77,34796
1,RUN,26.5,1.07,0.88,35300
1,RUN,25.9,0.66,0.54,35805
1,RUN,23.8,0.58,0.48,36308
1,STOP,23.7,1.01,0.83,36813
1,RUN,24.3,0.74,0.61,37317
1,RUN,24.5,0.75,0.61,37822
1,RUN,23.6,0.91,0.75,38326
1,RUN,26.9,0.52,0.43,38831
1,RUN,26.4,1.33,1.09,39334
1,RUN,25.8,0.8,0.66,39839
1,RUN,24.3,0.85,0.7,40343
1,STOP,26.2,0.86,0.71,40848
1,RUN,23.6,0.72,0.59,41352
1,RUN,23.3,0.94,0.77,41857
1,STOP,24.0,1.43,1.17,42360
1,STOP,24.1,0.66,0.54,42865
1,STOP,23.4,1.41,1.16,43369
1,STOP,25.9,1.28,1.05,43874
1,RUN,23.2,0.97,0.8,44379
1,RUN,23.9,0.97,0.8,44882
1,STOP,25.1,0.86,0.71,45387
1,STOP,25.7,0.83,0.68,45891
1,RUN,24.0,1.42,1.16,46396
1,RUN,23.0,0.7,0.57,46900
1,RUN,26.8,1.35,1.11,47405
1,RUN,26.6,1.0,0.82,47908
1,STOP,25.8,1.31,1.07,48413
1,RUN,25.6,1.44,1.18,48917
1,RUN,26.1,1.32,1.08,49422
1,RUN,25.9,1.27,1.04,49926
1,RUN,23.5,1.38,1.13,50430
1,RUN,23.0,0.92,0.75,50934
1,STOP,26.8,1.25,1.02,51439
1,RUN,26.5,0.78,0.64,51943
1,RUN,26.4,1.17,0.96,52448
1,STOP,24.4,1.12,0.92,52952
1,STOP,24.1,0.59,0.48,53456
1,RUN,24.4,1.38,1.13,53960
1,RUN,23.9,1.08,0.89,54465
1,RUN,24.8,1.21,0.99,54969
1,STOP,26.1,1.49,1.22,55474
1,STOP,23.0,1.15,0.94,55979
1,STOP,25.4,1.17,0.96,56482
1,RUN,24.6,1.34,1.1,56987
1,RUN,23.9,1.42,1.16,57491
1,STOP,26.9,1.45,1.19,57996
1,STOP,25.5,0.52,0.43,58500
1,RUN,24.2,0.93,0.76,59004
1,STOP,23.5,1.29,1.06,59508
1,RUN,26.3,0.84,0.69,60013
1,STOP,24.7,1.11,0.91,60517
1,RUN,25.6,0.8,0.66,61022
1,RUN,26.5,1.48,1.21,61526
1,RUN,24.6,0.95,0.78,62030
1,RUN,26.3,0.5,0.41,62534
1,RUN,24.0,1.37,1.12,63039
1,RUN,23.2,1.46,1.2,63543
1,RUN,24.5,1.07,0.88,64048
1,RUN,26.6,0.84,0.69,64551
1,RUN,24.3,0.7,0.57,65056
1,STOP,24.1,1.19,0.98,65560
1,RUN,25.9,1.38,1.13,66065
