machine_id,status,temperature,vibration,vibration_rms,timestamp
1,STOP,26.7,0.98,0.8,1970-01-01 00:00:00.000000000
1,RUN,26.3,1.29,1.06,1970-01-01 00:00:00.000000503
1,RUN,25.7,1.38,1.13,1970-01-01 00:00:00.000001008
1,RUN,23.1,0.78,0.64,1970-01-01 00:00:00.000001512
1,RUN,26.6,1.16,0.95,1970-01-01 00:00:00.000002016
1,RUN,23.9,1.31,1.07,1970-01-01 00:00:00.000002521
1,RUN,23.8,1.1,0.9,1970-01-01 00:00:00.000003024
1,RUN,24.5,1.0,0.82,1970-01-01 00:00:00.000003529
1,RUN,26.6,1.29,1.06,1970-01-01 00:00:00.000004033
1,STOP,26.0,0.78,0.64,1970-01-01 00:00:00.000004537
1,RUN,26.1,0.99,0.81,1970-01-01 00:00:00.000005042
1,RUN,25.0,1.12,0.92,1970-01-01 00:00:00.000005545
1,RUN,25.3,0.66,0.54,1970-01-01 00:00:00.000006050
1,STOP,26.4,0.53,0.43,1970-01-01 00:00:00.000006554
1,RUN,24.6,1.03,0.84,1970-01-01 00:00:00.000007059
1,RUN,25.9,0.52,0.43,1970-01-01 00:00:00.000007563
1,RUN,24.8,1.34,1.1,1970-01-01 00:00:00.000008067
1,STOP,24.0,0.85,0.7,1970-01-01 00:00:00.000008571
1,STOP,26.8,1.13,0.93,1970-01-01 00:00:00.000009075
1,RUN,25.1,0.64,0.52,1970-01-01 00:00:00.000009580
1,RUN,26.3,0.94,0.77,1970-01-01 00:00:00.000010084
1,RUN,25.4,0.92,0.75,1970-01-01 00:00:00.000010589
1,RUN,23.5,1.24,1.02,1970-01-01 00:00:00.000011092
1,RUN,24.7,0.73,0.6,1970-01-01 00:00:00.000011597
1,STOP,25.2,0.5,0.41,1970-01-01 00:00:00.000012101
1,RUN,25.2,0.71,0.58,1970-01-01 00:00:00.000012606
1,RUN,24.8,0.98,0.8,1970-01-01 00:00:00.000013110
1,RUN,24.7,0.88,0.72,1970-01-01 00:00:00.000013615
1,RUN,23.8,0.69,0.57,1970-01-01 00:00:00.000014118
1,RUN,24.0,1.01,0.83,1970-01-01 00:00:00.000014623
1,RUN,25.2,0.51,0.42,1970-01-01 00:00:00.000015127
1,RUN,23.6,1.46,1.2,1970-01-01 00:00:00.000015632
1,RUN,26.5,1.2,0.98,1970-01-01 00:00:00.000016136
1,RUN,24.6,1.03,0.84,1970-01-01 00:00:00.000016641
1,STOP,26.7,1.1,0.9,1970-01-01 00:00:00.000017144
1,STOP,24.7,1.3,1.07,1970-01-01 00:00:00.000017649
1,RUN,24.6,0.79,0.65,1970-01-01 00:00:00.000018153
1,RUN,26.2,1.12,0.92,1970-01-01 00:00:00.000018658
1,RUN,24.3,1.31,1.07,1970-01-01 00:00:00.000019162
1,RUN,24.8,1.05,0.86,1970-01-01 00:00:00.000019666
1,RUN,25.6,0.61,0.5,1970-01-01 00:00:00.000020170
1,RUN,23.7,1.13,0.93,1970-01-01 00:00:00.000020675
1,STOP,26.8,0.6,0.49,1970-01-01 00:00:00.000021179
1,RUN,25.9,0.58,0.48,1970-01-01 00:00:00.000021684
1,RUN,23.3,0.65,0.53,1970-01-01 00:00:00.000022188
1,RUN,26.2,1.2,0.98,1970-01-01 00:00:00.000022692
1,RUN,26.2,1.37,1.12,1970-01-01 00:00:00.000023196
1,RUN,25.8,0.55,0.45,1970-01-01 00:00:00.000023701
1,RUN,24.4,1.46,1.2,1970-01-01 00:00:00.000024205
1,RUN,23.2,0.74,0.61,1970-01-01 00:00:00.000024710
1,RUN,23.0,1.21,0.99,1970-01-01 00:00:00.000025213
1,RUN,26.9,1.44,1.18,1970-01-01 00:00:00.000025718
1,RUN,23.2,1.49,1.22,1970-01-01 00:00:00.000026222
1,RUN,24.9,1.09,0.89,1970-01-01 00:00:00.000026727
1,RUN,25.4,1.23,1.01,1970-01-01 00:00:00.000027231
1,RUN,24.2,1.41,1.16,1970-01-01 00:00:00.000027736
1,RUN,23.7,0.9,0.74,1970-01-01 00:00:00.000028239
1,RUN,25.0,0.82,0.67,1970-01-01 00:00:00.000028744
1,RUN,23.5,0.63,0.52,1970-01-01 00:00:00.000029248
1,RUN,26.8,1.11,0.91,1970-01-01 00:00:00.000029753
1,STOP,25.6,1.06,0.87,1970-01-01 00:00:00.000030257
1,RUN,24.8,0.86,0.71,1970-01-01 00:00:00.000030761
1,RUN,25.6,0.69,0.57,1970-01-01 00:00:00.000031265
1,RUN,25.8,1.48,1.21,1970-01-01 00:00:00.000031770
1,RUN,26.5,0.8,0.66,1970-01-01 00:00:00.000032274
1,RUN,25.2,1.06,0.87,1970-01-01 00:00:00.000032779
1,STOP,24.9,1.2,0.98,1970-01-01 00:00:00.000033283
1,RUN,24.3,0.59,0.48,1970-01-01 00:00:00.000033787
1,RUN,23.1,1.31,1.07,1970-01-01 00:00:00.000034291
1,RUN,25.0,0.94,0.77,1970-01-01 00:00:00.000034796
1,RUN,26.5,1.07,0.88,1970-01-01 00:00:00.000035300
1,RUN,25.9,0.66,0.54,1970-01-01 00:00:00.000035805
1,RUN,23.8,0.58,0.48,1970-01-01 00:00:00.000036308
1,STOP,23.7,1.01,0.83,1970-01-01 00:00:00.000036813
1,RUN,24.3,0.74,0.61,1970-01-01 00:00:00.000037317
1,RUN,24.5,0.75,0.61,1970-01-01 00:00:00.000037822
1,RUN,23.6,0.91,0.75,1970-01-01 00:00:00.000038326
1,RUN,26.9,0.52,0.43,1970-01-01 00:00:00.000038831
1,RUN,26.4,1.33,1.09,1970-01-01 00:00:00.000039334
1,RUN,25.8,0.8,0.66,1970-01-01 00:00:00.000039839
1,RUN,24.3,0.85,0.7,1970-01-01 00:00:00.000040343
1,STOP,26.2,0.86,0.71,1970-01-01 00:00:00.000040848
1,RUN,23.6,0.72,0.59,1970-01-01 00:00:00.000041352
1,RUN,23.3,0.94,0.77,1970-01-01 00:00:00.000041857
1,STOP,24.0,1.43,1.17,1970-01-01 00:00:00.000042360
1,STOP,24.1,0.66,0.54,1970-01-01 00:00:00.000042865
1,STOP,23.4,1.41,1.16,1970-01-01 00:00:00.000043369
1,STOP,25.9,1.28,1.05,1970-01-01 00:00:00.000043874
1,RUN,23.2,0.97,0.8,1970-01-01 00:00:00.000044379
1,RUN,23.9,0.97,0.8,1970-01-01 00:00:00.000044882
1,STOP,25.1,0.86,0.71,1970-01-01 00:00:00.000045387
1,STOP,25.7,0.83,0.68,1970-01-01 00:00:00.000045891
1,RUN,24.0,1.42,1.16,1970-01-01 00:00:00.000046396
1,RUN,23.0,0.7,0.57,1970-01-01 00:00:00.000046900
1,RUN,26.8,1.35,1.11,1970-01-01 00:00:00.000047405
1,RUN,26.6,1.0,0.82,1970-01-01 00:00:00.000047908
1,STOP,25.8,1.31,1.07,1970-01-01 00:00:00.000048413
1,RUN,25.6,1.44,1.18,1970-01-01 00:00:00.000048917
1,RUN,26.1,1.32,1.08,1970-01-01 00:00:00.000049422
1,RUN,25.9,1.27,1.04,1970-01-01 00:00:00.000049926
1,RUN,23.5,1.38,1.13,1970-01-01 00:00:00.000050430
1,RUN,23.0,0.92,0.75,1970-01-01 00:00:00.000050934
1,STOP,26.8,1.25,1.02,1970-01-01 00:00:00.000051439
1,RUN,26.5,0.78,0.64,1970-01-01 00:00:00.000051943
1,RUN,26.4,1.17,0.96,1970-01-01 00:00:00.000052448
1,STOP,24.4,1.12,0.92,1970-01-01 00:00:00.000052952
1,STOP,24.1,0.59,0.48,1970-01-01 00:00:00.000053456
1,RUN,24.4,1.38,1.13,1970-01-01 00:00:00.000053960
1,RUN,23.9,1.08,0.89,1970-01-01 00:00:00.000054465
1,RUN,24.8,1.21,0.99,1970-01-01 00:00:00.000054969
1,STOP,26.1,1.49,1.22,1970-01-01 00:00:00.000055474
1,STOP,23.0,1.15,0.94,1970-01-01 00:00:00.000055979
1,STOP,25.4,1.17,0.96,1970-01-01 00:00:00.000056482
1,RUN,24.6,1.34,1.1,1970-01-01 00:00:00.000056987
1,RUN,23.9,1.42,1.16,1970-01-01 00:00:00.000057491
1,STOP,26.9,1.45,1.19,1970-01-01 00:00:00.000057996
1,STOP,25.5,0.52,0.43,1970-01-01 00:00:00.000058500
1,RUN,24.2,0.93,0.76,1970-01-01 00:00:00.000059004
1,STOP,23.5,1.29,1.06,1970-01-01 00:00:00.000059508
1,RUN,26.3,0.84,0.69,1970-01-01 00:00:00.000060013
1,STOP,24.7,1.11,0.91,1970-01-01 00:00:00.000060517
1,RUN,25.6,0.8,0.66,1970-01-01 00:00:00.000061022
1,RUN,26.5,1.48,1.21,1970-01-01 00:00:00.000061526
1,RUN,24.6,0.95,0.78,1970-01-01 00:00:00.000062030
1,RUN,26.3,0.5,0.41,1970-01-01 00:00:00.000062534
1,RUN,24.0,1.37,1.12,1970-01-01 00:00:00.000063039
1,RUN,23.2,1.46,1.2,1970-01-01 00:00:00.000063543
1,RUN,24.5,1.07,0.88,1970-01-01 00:00:00.000064048
1,RUN,26.6,0.84,0.69,1970-01-01 00:00:00.000064551
1,RUN,24.3,0.7,0.57,1970-01-01 00:00:00.000065056
1,STOP,24.1,1.19,0.98,1970-01-01 00:00:00.000065560
1,RUN,25.9,1.38,1.13,1970-01-01 00:00:00.000066065
1,RUN,25.8,0.87,0.71,1970-01-01 00:00:00.000066569
